state_name,year,condition_status,counts,condition
Nevada,2006,Yes,928,pregnancy-associated_hypertension
Nevada,2006,No,38592,pregnancy-associated_hypertension
Nevada,2006,Unknown or Not Stated,507,pregnancy-associated_hypertension
New Hampshire,2003,Yes,629,pregnancy-associated_hypertension
New Hampshire,2003,No,13763,pregnancy-associated_hypertension
New Hampshire,2004,Yes,633,pregnancy-associated_hypertension
New Hampshire,2004,No,13928,pregnancy-associated_hypertension
New Hampshire,2005,Yes,663,pregnancy-associated_hypertension
New Hampshire,2005,No,13756,pregnancy-associated_hypertension
New Hampshire,2006,Yes,689,pregnancy-associated_hypertension
New Hampshire,2006,No,13685,pregnancy-associated_hypertension
New Jersey,2003,Yes,3608,pregnancy-associated_hypertension
New Jersey,2003,No,113037,pregnancy-associated_hypertension
New Jersey,2003,Unknown or Not Stated,338,pregnancy-associated_hypertension
New Jersey,2004,Yes,3541,pregnancy-associated_hypertension
New Jersey,2004,No,111416,pregnancy-associated_hypertension
New Jersey,2004,Unknown or Not Stated,296,pregnancy-associated_hypertension
New Jersey,2005,Yes,3551,pregnancy-associated_hypertension
New Jersey,2005,No,109960,pregnancy-associated_hypertension
New Jersey,2005,Unknown or Not Stated,265,pregnancy-associated_hypertension
New Jersey,2006,Yes,3575,pregnancy-associated_hypertension
New Jersey,2006,No,111197,pregnancy-associated_hypertension
New Jersey,2006,Unknown or Not Stated,248,pregnancy-associated_hypertension
New Mexico,2003,Yes,1627,pregnancy-associated_hypertension
New Mexico,2003,No,26182,pregnancy-associated_hypertension
New Mexico,2003,Unknown or Not Stated,12,pregnancy-associated_hypertension
New Mexico,2004,Yes,1272,pregnancy-associated_hypertension
New Mexico,2004,No,27101,pregnancy-associated_hypertension
New Mexico,2004,Unknown or Not Stated,11,pregnancy-associated_hypertension
New Mexico,2005,Yes,1247,pregnancy-associated_hypertension
New Mexico,2005,No,27586,pregnancy-associated_hypertension
New Mexico,2006,Yes,1254,pregnancy-associated_hypertension
New Mexico,2006,No,28682,pregnancy-associated_hypertension
