state_name,Condition,Year,Counts
Vermont,No,2018,5358
Vermont,No,2019,5304
Vermont,No,2020,5073
Vermont,No,2021,5300
Virginia,Yes,2016,749
Virginia,Yes,2017,834
Virginia,Yes,2018,939
Virginia,Yes,2019,1073
Virginia,Yes,2020,1000
Virginia,Yes,2021,932
Virginia,No,2016,101707
Virginia,No,2017,99556
Virginia,No,2018,98903
Virginia,No,2019,96350
Virginia,No,2020,93746
Virginia,No,2021,94889
Washington,Yes,2016,851
Washington,Yes,2017,900
Washington,Yes,2018,861
Washington,Yes,2019,856
Washington,Yes,2020,820
Washington,Yes,2021,864
Washington,No,2016,89221
Washington,No,2017,86285
Washington,No,2018,85224
Washington,No,2019,84012
Washington,No,2020,81688
Washington,No,2021,82066
West Virginia,Yes,2016,296
West Virginia,Yes,2017,261
West Virginia,Yes,2018,276
West Virginia,Yes,2019,263
West Virginia,Yes,2020,280
West Virginia,Yes,2021,240
West Virginia,No,2016,18685
West Virginia,No,2017,18318
West Virginia,No,2018,17896
West Virginia,No,2019,17782
West Virginia,No,2020,16950
West Virginia,No,2021,16863
Wisconsin,Yes,2016,638
Wisconsin,Yes,2017,651
Wisconsin,Yes,2018,762
Wisconsin,Yes,2019,747
Wisconsin,Yes,2020,743
Wisconsin,Yes,2021,761
Wisconsin,No,2016,65764
Wisconsin,No,2017,64150
Wisconsin,No,2018,63148
Wisconsin,No,2019,62312
Wisconsin,No,2020,59785
Wisconsin,No,2021,60925
Wyoming,Yes,2016,48
Wyoming,Yes,2017,61
Wyoming,Yes,2018,71
Wyoming,Yes,2019,61
Wyoming,Yes,2020,40
Wyoming,Yes,2021,39
Wyoming,No,2016,7338
Wyoming,No,2017,6841
Wyoming,No,2018,6491
Wyoming,No,2019,6504
Wyoming,No,2020,6087
Wyoming,No,2021,6196
