"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Diabetes""","""Gestational Diabetes Code""","Births"
NA,"""Idaho""","""16""","""2021""","""2021""","""Yes""","""1""",1477
NA,"""Idaho""","""16""","""2021""","""2021""","""No""","""2""",20931
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Illinois""","""17""","""2016""","""2016""","""Yes""","""1""",10198
NA,"""Illinois""","""17""","""2016""","""2016""","""No""","""2""",144021
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""9""",226
NA,"""Illinois""","""17""","""2017""","""2017""","""Yes""","""1""",10657
NA,"""Illinois""","""17""","""2017""","""2017""","""No""","""2""",138368
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""9""",365
NA,"""Illinois""","""17""","""2018""","""2018""","""Yes""","""1""",10717
NA,"""Illinois""","""17""","""2018""","""2018""","""No""","""2""",133845
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""9""",253
NA,"""Illinois""","""17""","""2019""","""2019""","""Yes""","""1""",11376
NA,"""Illinois""","""17""","""2019""","""2019""","""No""","""2""",128630
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""9""",122
NA,"""Illinois""","""17""","""2020""","""2020""","""Yes""","""1""",12085
NA,"""Illinois""","""17""","""2020""","""2020""","""No""","""2""",121045
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""9""",168
NA,"""Illinois""","""17""","""2021""","""2021""","""Yes""","""1""",12676
NA,"""Illinois""","""17""","""2021""","""2021""","""No""","""2""",119390
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""9""",123
NA,"""Indiana""","""18""","""2016""","""2016""","""Yes""","""1""",5152
NA,"""Indiana""","""18""","""2016""","""2016""","""No""","""2""",77935
NA,"""Indiana""","""18""","""2017""","""2017""","""Yes""","""1""",5252
NA,"""Indiana""","""18""","""2017""","""2017""","""No""","""2""",76908
NA,"""Indiana""","""18""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Indiana""","""18""","""2018""","""2018""","""Yes""","""1""",5527
NA,"""Indiana""","""18""","""2018""","""2018""","""No""","""2""",76110
NA,"""Indiana""","""18""","""2019""","""2019""","""Yes""","""1""",5878
NA,"""Indiana""","""18""","""2019""","""2019""","""No""","""2""",74977
NA,"""Indiana""","""18""","""2020""","""2020""","""Yes""","""1""",6185
NA,"""Indiana""","""18""","""2020""","""2020""","""No""","""2""",72384
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""9""",47
NA,"""Indiana""","""18""","""2021""","""2021""","""Yes""","""1""",6668
NA,"""Indiana""","""18""","""2021""","""2021""","""No""","""2""",72817
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""9""",461
NA,"""Iowa""","""19""","""2016""","""2016""","""Yes""","""1""",2997
NA,"""Iowa""","""19""","""2016""","""2016""","""No""","""2""",36405
NA,"""Iowa""","""19""","""2017""","""2017""","""Yes""","""1""",3228
NA,"""Iowa""","""19""","""2017""","""2017""","""No""","""2""",35200
NA,"""Iowa""","""19""","""2018""","""2018""","""Yes""","""1""",3170
NA,"""Iowa""","""19""","""2018""","""2018""","""No""","""2""",34615
NA,"""Iowa""","""19""","""2019""","""2019""","""Yes""","""1""",3341
NA,"""Iowa""","""19""","""2019""","""2019""","""No""","""2""",34306
NA,"""Iowa""","""19""","""2020""","""2020""","""Yes""","""1""",3381
NA,"""Iowa""","""19""","""2020""","""2020""","""No""","""2""",32732
NA,"""Iowa""","""19""","""2021""","""2021""","""Yes""","""1""",3797
NA,"""Iowa""","""19""","""2021""","""2021""","""No""","""2""",33030
NA,"""Kansas""","""20""","""2016""","""2016""","""Yes""","""1""",2245
NA,"""Kansas""","""20""","""2016""","""2016""","""No""","""2""",35808
NA,"""Kansas""","""20""","""2017""","""2017""","""Yes""","""1""",2323
NA,"""Kansas""","""20""","""2017""","""2017""","""No""","""2""",34196
NA,"""Kansas""","""20""","""2018""","""2018""","""Yes""","""1""",2496
NA,"""Kansas""","""20""","""2018""","""2018""","""No""","""2""",33765
NA,"""Kansas""","""20""","""2019""","""2019""","""Yes""","""1""",2601
NA,"""Kansas""","""20""","""2019""","""2019""","""No""","""2""",32794
NA,"""Kansas""","""20""","""2020""","""2020""","""Yes""","""1""",2989
NA,"""Kansas""","""20""","""2020""","""2020""","""No""","""2""",31386
NA,"""Kansas""","""20""","""2021""","""2021""","""Yes""","""1""",3094
NA,"""Kansas""","""20""","""2021""","""2021""","""No""","""2""",31609
NA,"""Kentucky""","""21""","""2016""","""2016""","""Yes""","""1""",3113
NA,"""Kentucky""","""21""","""2016""","""2016""","""No""","""2""",52055
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""9""",281
NA,"""Kentucky""","""21""","""2017""","""2017""","""Yes""","""1""",3355
NA,"""Kentucky""","""21""","""2017""","""2017""","""No""","""2""",51205
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""9""",192
NA,"""Kentucky""","""21""","""2018""","""2018""","""Yes""","""1""",3368
NA,"""Kentucky""","""21""","""2018""","""2018""","""No""","""2""",50414
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""9""",140
NA,"""Kentucky""","""21""","""2019""","""2019""","""Yes""","""1""",3654
NA,"""Kentucky""","""21""","""2019""","""2019""","""No""","""2""",49269
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""9""",146
NA,"""Kentucky""","""21""","""2020""","""2020""","""Yes""","""1""",4089
NA,"""Kentucky""","""21""","""2020""","""2020""","""No""","""2""",47036
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""9""",543
NA,"""Kentucky""","""21""","""2021""","""2021""","""Yes""","""1""",4293
NA,"""Kentucky""","""21""","""2021""","""2021""","""No""","""2""",47682
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""9""",239
NA,"""Louisiana""","""22""","""2016""","""2016""","""Yes""","""1""",3242
NA,"""Louisiana""","""22""","""2016""","""2016""","""No""","""2""",59936
NA,"""Louisiana""","""22""","""2017""","""2017""","""Yes""","""1""",3504
NA,"""Louisiana""","""22""","""2017""","""2017""","""No""","""2""",57514
NA,"""Louisiana""","""22""","""2018""","""2018""","""Yes""","""1""",3590
NA,"""Louisiana""","""22""","""2018""","""2018""","""No""","""2""",56025
NA,"""Louisiana""","""22""","""2019""","""2019""","""Yes""","""1""",3478
NA,"""Louisiana""","""22""","""2019""","""2019""","""No""","""2""",55462
NA,"""Louisiana""","""22""","""2020""","""2020""","""Yes""","""1""",4343
NA,"""Louisiana""","""22""","""2020""","""2020""","""No""","""2""",52984
NA,"""Louisiana""","""22""","""2021""","""2021""","""Yes""","""1""",4474
NA,"""Louisiana""","""22""","""2021""","""2021""","""No""","""2""",52961
NA,"""Maine""","""23""","""2016""","""2016""","""Yes""","""1""",789
NA,"""Maine""","""23""","""2016""","""2016""","""No""","""2""",11901
NA,"""Maine""","""23""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""Maine""","""23""","""2017""","""2017""","""Yes""","""1""",816
NA,"""Maine""","""23""","""2017""","""2017""","""No""","""2""",11480
NA,"""Maine""","""23""","""2018""","""2018""","""Yes""","""1""",921
NA,"""Maine""","""23""","""2018""","""2018""","""No""","""2""",11389
NA,"""Maine""","""23""","""2019""","""2019""","""Yes""","""1""",999
NA,"""Maine""","""23""","""2019""","""2019""","""No""","""2""",10778
NA,"""Maine""","""23""","""2020""","""2020""","""Yes""","""1""",1057
NA,"""Maine""","""23""","""2020""","""2020""","""No""","""2""",10482
NA,"""Maine""","""23""","""2021""","""2021""","""Yes""","""1""",1154
NA,"""Maine""","""23""","""2021""","""2021""","""No""","""2""",10852
NA,"""Maryland""","""24""","""2016""","""2016""","""Yes""","""1""",4880
NA,"""Maryland""","""24""","""2016""","""2016""","""No""","""2""",68245
NA,"""Maryland""","""24""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Maryland""","""24""","""2017""","""2017""","""Yes""","""1""",5235
NA,"""Maryland""","""24""","""2017""","""2017""","""No""","""2""",66337
NA,"""Maryland""","""24""","""2017""","""2017""","""Unknown or Not Stated""","""9""",69
NA,"""Maryland""","""24""","""2018""","""2018""","""Yes""","""1""",5200
NA,"""Maryland""","""24""","""2018""","""2018""","""No""","""2""",65838
NA,"""Maryland""","""24""","""2018""","""2018""","""Unknown or Not Stated""","""9""",42
NA,"""Maryland""","""24""","""2019""","""2019""","""Yes""","""1""",5229
NA,"""Maryland""","""24""","""2019""","""2019""","""No""","""2""",64909
NA,"""Maryland""","""24""","""2019""","""2019""","""Unknown or Not Stated""","""9""",40
NA,"""Maryland""","""24""","""2020""","""2020""","""Yes""","""1""",6110
NA,"""Maryland""","""24""","""2020""","""2020""","""No""","""2""",62405
NA,"""Maryland""","""24""","""2020""","""2020""","""Unknown or Not Stated""","""9""",39
NA,"""Maryland""","""24""","""2021""","""2021""","""Yes""","""1""",6357
NA,"""Maryland""","""24""","""2021""","""2021""","""No""","""2""",61886
NA,"""Maryland""","""24""","""2021""","""2021""","""Unknown or Not Stated""","""9""",42
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Yes""","""1""",4006
NA,"""Massachusetts""","""25""","""2016""","""2016""","""No""","""2""",67215
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Unknown or Not Stated""","""9""",96
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Yes""","""1""",4575
NA,"""Massachusetts""","""25""","""2017""","""2017""","""No""","""2""",66056
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Unknown or Not Stated""","""9""",71
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Yes""","""1""",4812
NA,"""Massachusetts""","""25""","""2018""","""2018""","""No""","""2""",64221
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Unknown or Not Stated""","""9""",76
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Yes""","""1""",4887
NA,"""Massachusetts""","""25""","""2019""","""2019""","""No""","""2""",64093
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Unknown or Not Stated""","""9""",137
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Yes""","""1""",5219
NA,"""Massachusetts""","""25""","""2020""","""2020""","""No""","""2""",60976
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Unknown or Not Stated""","""9""",233
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Yes""","""1""",5841
NA,"""Massachusetts""","""25""","""2021""","""2021""","""No""","""2""",63084
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Unknown or Not Stated""","""9""",212
NA,"""Michigan""","""26""","""2016""","""2016""","""Yes""","""1""",5961
NA,"""Michigan""","""26""","""2016""","""2016""","""No""","""2""",107086
NA,"""Michigan""","""26""","""2016""","""2016""","""Unknown or Not Stated""","""9""",268
NA,"""Michigan""","""26""","""2017""","""2017""","""Yes""","""1""",6293
NA,"""Michigan""","""26""","""2017""","""2017""","""No""","""2""",104821
