"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Cesarean Delivery""","""Previous Cesarean Delivery Code""","Births"
NA,"""Illinois""","""17""","""2020""","""2020""","""Yes""","""1""",20739
NA,"""Illinois""","""17""","""2020""","""2020""","""No""","""2""",112391
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""9""",168
NA,"""Illinois""","""17""","""2021""","""2021""","""Yes""","""1""",20655
NA,"""Illinois""","""17""","""2021""","""2021""","""No""","""2""",111411
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""9""",123
NA,"""Indiana""","""18""","""2016""","""2016""","""Yes""","""1""",11440
NA,"""Indiana""","""18""","""2016""","""2016""","""No""","""2""",71647
NA,"""Indiana""","""18""","""2017""","""2017""","""Yes""","""1""",11443
NA,"""Indiana""","""18""","""2017""","""2017""","""No""","""2""",70717
NA,"""Indiana""","""18""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Indiana""","""18""","""2018""","""2018""","""Yes""","""1""",11423
NA,"""Indiana""","""18""","""2018""","""2018""","""No""","""2""",70214
NA,"""Indiana""","""18""","""2019""","""2019""","""Yes""","""1""",11301
NA,"""Indiana""","""18""","""2019""","""2019""","""No""","""2""",69554
NA,"""Indiana""","""18""","""2020""","""2020""","""Yes""","""1""",11139
NA,"""Indiana""","""18""","""2020""","""2020""","""No""","""2""",67430
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""9""",47
NA,"""Indiana""","""18""","""2021""","""2021""","""Yes""","""1""",10902
NA,"""Indiana""","""18""","""2021""","""2021""","""No""","""2""",68583
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""9""",461
NA,"""Iowa""","""19""","""2016""","""2016""","""Yes""","""1""",5707
NA,"""Iowa""","""19""","""2016""","""2016""","""No""","""2""",33695
NA,"""Iowa""","""19""","""2017""","""2017""","""Yes""","""1""",5750
NA,"""Iowa""","""19""","""2017""","""2017""","""No""","""2""",32678
NA,"""Iowa""","""19""","""2018""","""2018""","""Yes""","""1""",5792
NA,"""Iowa""","""19""","""2018""","""2018""","""No""","""2""",31993
NA,"""Iowa""","""19""","""2019""","""2019""","""Yes""","""1""",5630
NA,"""Iowa""","""19""","""2019""","""2019""","""No""","""2""",32017
NA,"""Iowa""","""19""","""2020""","""2020""","""Yes""","""1""",5180
NA,"""Iowa""","""19""","""2020""","""2020""","""No""","""2""",30933
NA,"""Iowa""","""19""","""2021""","""2021""","""Yes""","""1""",5309
NA,"""Iowa""","""19""","""2021""","""2021""","""No""","""2""",31518
NA,"""Kansas""","""20""","""2016""","""2016""","""Yes""","""1""",5530
NA,"""Kansas""","""20""","""2016""","""2016""","""No""","""2""",32523
NA,"""Kansas""","""20""","""2017""","""2017""","""Yes""","""1""",5206
NA,"""Kansas""","""20""","""2017""","""2017""","""No""","""2""",31313
NA,"""Kansas""","""20""","""2018""","""2018""","""Yes""","""1""",5296
NA,"""Kansas""","""20""","""2018""","""2018""","""No""","""2""",30965
NA,"""Kansas""","""20""","""2019""","""2019""","""Yes""","""1""",5264
NA,"""Kansas""","""20""","""2019""","""2019""","""No""","""2""",30131
NA,"""Kansas""","""20""","""2020""","""2020""","""Yes""","""1""",5293
NA,"""Kansas""","""20""","""2020""","""2020""","""No""","""2""",29082
NA,"""Kansas""","""20""","""2021""","""2021""","""Yes""","""1""",5420
NA,"""Kansas""","""20""","""2021""","""2021""","""No""","""2""",29283
NA,"""Kentucky""","""21""","""2016""","""2016""","""Yes""","""1""",9261
NA,"""Kentucky""","""21""","""2016""","""2016""","""No""","""2""",45907
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""9""",281
NA,"""Kentucky""","""21""","""2017""","""2017""","""Yes""","""1""",9269
NA,"""Kentucky""","""21""","""2017""","""2017""","""No""","""2""",45291
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""9""",192
NA,"""Kentucky""","""21""","""2018""","""2018""","""Yes""","""1""",8985
NA,"""Kentucky""","""21""","""2018""","""2018""","""No""","""2""",44797
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""9""",140
NA,"""Kentucky""","""21""","""2019""","""2019""","""Yes""","""1""",8844
NA,"""Kentucky""","""21""","""2019""","""2019""","""No""","""2""",44079
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""9""",146
NA,"""Kentucky""","""21""","""2020""","""2020""","""Yes""","""1""",8296
NA,"""Kentucky""","""21""","""2020""","""2020""","""No""","""2""",42829
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""9""",543
NA,"""Kentucky""","""21""","""2021""","""2021""","""Yes""","""1""",8857
NA,"""Kentucky""","""21""","""2021""","""2021""","""No""","""2""",43118
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""9""",239
NA,"""Louisiana""","""22""","""2016""","""2016""","""Yes""","""1""",11147
NA,"""Louisiana""","""22""","""2016""","""2016""","""No""","""2""",52031
NA,"""Louisiana""","""22""","""2017""","""2017""","""Yes""","""1""",11297
NA,"""Louisiana""","""22""","""2017""","""2017""","""No""","""2""",49721
NA,"""Louisiana""","""22""","""2018""","""2018""","""Yes""","""1""",10987
NA,"""Louisiana""","""22""","""2018""","""2018""","""No""","""2""",48628
NA,"""Louisiana""","""22""","""2019""","""2019""","""Yes""","""1""",10735
NA,"""Louisiana""","""22""","""2019""","""2019""","""No""","""2""",48205
NA,"""Louisiana""","""22""","""2020""","""2020""","""Yes""","""1""",10359
NA,"""Louisiana""","""22""","""2020""","""2020""","""No""","""2""",46968
NA,"""Louisiana""","""22""","""2021""","""2021""","""Yes""","""1""",10045
NA,"""Louisiana""","""22""","""2021""","""2021""","""No""","""2""",47390
NA,"""Maine""","""23""","""2016""","""2016""","""Yes""","""1""",1468
NA,"""Maine""","""23""","""2016""","""2016""","""No""","""2""",11222
NA,"""Maine""","""23""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""Maine""","""23""","""2017""","""2017""","""Yes""","""1""",1448
NA,"""Maine""","""23""","""2017""","""2017""","""No""","""2""",10848
NA,"""Maine""","""23""","""2018""","""2018""","""Yes""","""1""",1640
NA,"""Maine""","""23""","""2018""","""2018""","""No""","""2""",10670
NA,"""Maine""","""23""","""2019""","""2019""","""Yes""","""1""",1617
NA,"""Maine""","""23""","""2019""","""2019""","""No""","""2""",10160
NA,"""Maine""","""23""","""2020""","""2020""","""Yes""","""1""",1598
NA,"""Maine""","""23""","""2020""","""2020""","""No""","""2""",9941
NA,"""Maine""","""23""","""2021""","""2021""","""Yes""","""1""",1699
NA,"""Maine""","""23""","""2021""","""2021""","""No""","""2""",10307
NA,"""Maryland""","""24""","""2016""","""2016""","""Yes""","""1""",11819
NA,"""Maryland""","""24""","""2016""","""2016""","""No""","""2""",61306
NA,"""Maryland""","""24""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Maryland""","""24""","""2017""","""2017""","""Yes""","""1""",11846
NA,"""Maryland""","""24""","""2017""","""2017""","""No""","""2""",59726
NA,"""Maryland""","""24""","""2017""","""2017""","""Unknown or Not Stated""","""9""",69
NA,"""Maryland""","""24""","""2018""","""2018""","""Yes""","""1""",12049
NA,"""Maryland""","""24""","""2018""","""2018""","""No""","""2""",58989
NA,"""Maryland""","""24""","""2018""","""2018""","""Unknown or Not Stated""","""9""",42
NA,"""Maryland""","""24""","""2019""","""2019""","""Yes""","""1""",11518
NA,"""Maryland""","""24""","""2019""","""2019""","""No""","""2""",58620
NA,"""Maryland""","""24""","""2019""","""2019""","""Unknown or Not Stated""","""9""",40
NA,"""Maryland""","""24""","""2020""","""2020""","""Yes""","""1""",11720
NA,"""Maryland""","""24""","""2020""","""2020""","""No""","""2""",56795
NA,"""Maryland""","""24""","""2020""","""2020""","""Unknown or Not Stated""","""9""",39
NA,"""Maryland""","""24""","""2021""","""2021""","""Yes""","""1""",11389
NA,"""Maryland""","""24""","""2021""","""2021""","""No""","""2""",56854
NA,"""Maryland""","""24""","""2021""","""2021""","""Unknown or Not Stated""","""9""",42
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Yes""","""1""",10714
NA,"""Massachusetts""","""25""","""2016""","""2016""","""No""","""2""",60507
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Unknown or Not Stated""","""9""",96
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Yes""","""1""",10985
NA,"""Massachusetts""","""25""","""2017""","""2017""","""No""","""2""",59646
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Unknown or Not Stated""","""9""",71
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Yes""","""1""",10733
NA,"""Massachusetts""","""25""","""2018""","""2018""","""No""","""2""",58300
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Unknown or Not Stated""","""9""",76
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Yes""","""1""",10498
NA,"""Massachusetts""","""25""","""2019""","""2019""","""No""","""2""",58482
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Unknown or Not Stated""","""9""",137
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Yes""","""1""",10245
NA,"""Massachusetts""","""25""","""2020""","""2020""","""No""","""2""",55950
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Unknown or Not Stated""","""9""",233
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Yes""","""1""",10499
NA,"""Massachusetts""","""25""","""2021""","""2021""","""No""","""2""",58426
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Unknown or Not Stated""","""9""",212
NA,"""Michigan""","""26""","""2016""","""2016""","""Yes""","""1""",16183
NA,"""Michigan""","""26""","""2016""","""2016""","""No""","""2""",96864
NA,"""Michigan""","""26""","""2016""","""2016""","""Unknown or Not Stated""","""9""",268
NA,"""Michigan""","""26""","""2017""","""2017""","""Yes""","""1""",15947
NA,"""Michigan""","""26""","""2017""","""2017""","""No""","""2""",95167
NA,"""Michigan""","""26""","""2017""","""2017""","""Unknown or Not Stated""","""9""",312
NA,"""Michigan""","""26""","""2018""","""2018""","""Yes""","""1""",15902
NA,"""Michigan""","""26""","""2018""","""2018""","""No""","""2""",93861
NA,"""Michigan""","""26""","""2018""","""2018""","""Unknown or Not Stated""","""9""",269
NA,"""Michigan""","""26""","""2019""","""2019""","""Yes""","""1""",15846
NA,"""Michigan""","""26""","""2019""","""2019""","""No""","""2""",91801
NA,"""Michigan""","""26""","""2019""","""2019""","""Unknown or Not Stated""","""9""",239
NA,"""Michigan""","""26""","""2020""","""2020""","""Yes""","""1""",14925
NA,"""Michigan""","""26""","""2020""","""2020""","""No""","""2""",88967
NA,"""Michigan""","""26""","""2020""","""2020""","""Unknown or Not Stated""","""9""",182
NA,"""Michigan""","""26""","""2021""","""2021""","""Yes""","""1""",15935
NA,"""Michigan""","""26""","""2021""","""2021""","""No""","""2""",88900
NA,"""Michigan""","""26""","""2021""","""2021""","""Unknown or Not Stated""","""9""",145
NA,"""Minnesota""","""27""","""2016""","""2016""","""Yes""","""1""",9666
NA,"""Minnesota""","""27""","""2016""","""2016""","""No""","""2""",60019
NA,"""Minnesota""","""27""","""2016""","""2016""","""Unknown or Not Stated""","""9""",64
NA,"""Minnesota""","""27""","""2017""","""2017""","""Yes""","""1""",9468
