"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Preterm Birth""","""Previous Preterm Birth Code""","Births"
NA,"""Massachusetts""","""25""","""2019""","""2019""","""No""","""2""",67161
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Unknown or Not Stated""","""9""",137
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Yes""","""1""",1964
NA,"""Massachusetts""","""25""","""2020""","""2020""","""No""","""2""",64231
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Unknown or Not Stated""","""9""",233
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Yes""","""1""",2004
NA,"""Massachusetts""","""25""","""2021""","""2021""","""No""","""2""",66921
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Unknown or Not Stated""","""9""",212
NA,"""Michigan""","""26""","""2016""","""2016""","""Yes""","""1""",3308
NA,"""Michigan""","""26""","""2016""","""2016""","""No""","""2""",109739
NA,"""Michigan""","""26""","""2016""","""2016""","""Unknown or Not Stated""","""9""",268
NA,"""Michigan""","""26""","""2017""","""2017""","""Yes""","""1""",3420
NA,"""Michigan""","""26""","""2017""","""2017""","""No""","""2""",107694
NA,"""Michigan""","""26""","""2017""","""2017""","""Unknown or Not Stated""","""9""",312
NA,"""Michigan""","""26""","""2018""","""2018""","""Yes""","""1""",3656
NA,"""Michigan""","""26""","""2018""","""2018""","""No""","""2""",106107
NA,"""Michigan""","""26""","""2018""","""2018""","""Unknown or Not Stated""","""9""",269
NA,"""Michigan""","""26""","""2019""","""2019""","""Yes""","""1""",3919
NA,"""Michigan""","""26""","""2019""","""2019""","""No""","""2""",103728
NA,"""Michigan""","""26""","""2019""","""2019""","""Unknown or Not Stated""","""9""",239
NA,"""Michigan""","""26""","""2020""","""2020""","""Yes""","""1""",3904
NA,"""Michigan""","""26""","""2020""","""2020""","""No""","""2""",99988
NA,"""Michigan""","""26""","""2020""","""2020""","""Unknown or Not Stated""","""9""",182
NA,"""Michigan""","""26""","""2021""","""2021""","""Yes""","""1""",4367
NA,"""Michigan""","""26""","""2021""","""2021""","""No""","""2""",100468
NA,"""Michigan""","""26""","""2021""","""2021""","""Unknown or Not Stated""","""9""",145
NA,"""Minnesota""","""27""","""2016""","""2016""","""Yes""","""1""",2989
NA,"""Minnesota""","""27""","""2016""","""2016""","""No""","""2""",66696
NA,"""Minnesota""","""27""","""2016""","""2016""","""Unknown or Not Stated""","""9""",64
NA,"""Minnesota""","""27""","""2017""","""2017""","""Yes""","""1""",3039
NA,"""Minnesota""","""27""","""2017""","""2017""","""No""","""2""",65453
