"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Chlamydia""","""Chlamydia Code""","Births"
NA,"""Indiana""","""18""","""2017""","""2017""","""Yes""","""1""",1998
NA,"""Indiana""","""18""","""2017""","""2017""","""No""","""2""",80168
NA,"""Indiana""","""18""","""2018""","""2018""","""Yes""","""1""",1947
NA,"""Indiana""","""18""","""2018""","""2018""","""No""","""2""",79697
NA,"""Indiana""","""18""","""2019""","""2019""","""Yes""","""1""",1940
NA,"""Indiana""","""18""","""2019""","""2019""","""No""","""2""",78914
NA,"""Indiana""","""18""","""2020""","""2020""","""Yes""","""1""",1836
NA,"""Indiana""","""18""","""2020""","""2020""","""No""","""2""",76730
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""9""",50
NA,"""Indiana""","""18""","""2021""","""2021""","""Yes""","""1""",1786
NA,"""Indiana""","""18""","""2021""","""2021""","""No""","""2""",75744
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""9""",2416
NA,"""Iowa""","""19""","""2016""","""2016""","""Yes""","""1""",712
NA,"""Iowa""","""19""","""2016""","""2016""","""No""","""2""",38690
NA,"""Iowa""","""19""","""2017""","""2017""","""Yes""","""1""",740
NA,"""Iowa""","""19""","""2017""","""2017""","""No""","""2""",37684
NA,"""Iowa""","""19""","""2018""","""2018""","""Yes""","""1""",769
NA,"""Iowa""","""19""","""2018""","""2018""","""No""","""2""",37015
NA,"""Iowa""","""19""","""2019""","""2019""","""Yes""","""1""",731
NA,"""Iowa""","""19""","""2019""","""2019""","""No""","""2""",36914
NA,"""Iowa""","""19""","""2020""","""2020""","""Yes""","""1""",786
NA,"""Iowa""","""19""","""2020""","""2020""","""No""","""2""",35325
NA,"""Iowa""","""19""","""2021""","""2021""","""Yes""","""1""",799
NA,"""Iowa""","""19""","""2021""","""2021""","""No""","""2""",36023
NA,"""Iowa""","""19""","""2021""","""2021""","""Unknown or Not Stated""","""9""",13
NA,"""Kansas""","""20""","""2016""","""2016""","""Yes""","""1""",548
NA,"""Kansas""","""20""","""2016""","""2016""","""No""","""2""",37505
NA,"""Kansas""","""20""","""2017""","""2017""","""Yes""","""1""",610
NA,"""Kansas""","""20""","""2017""","""2017""","""No""","""2""",35908
NA,"""Kansas""","""20""","""2018""","""2018""","""Yes""","""1""",657
NA,"""Kansas""","""20""","""2018""","""2018""","""No""","""2""",35603
NA,"""Kansas""","""20""","""2019""","""2019""","""Yes""","""1""",649
NA,"""Kansas""","""20""","""2019""","""2019""","""No""","""2""",34746
NA,"""Kansas""","""20""","""2020""","""2020""","""Yes""","""1""",623
NA,"""Kansas""","""20""","""2020""","""2020""","""No""","""2""",33751
NA,"""Kansas""","""20""","""2021""","""2021""","""Yes""","""1""",580
NA,"""Kansas""","""20""","""2021""","""2021""","""No""","""2""",34122
NA,"""Kentucky""","""21""","""2016""","""2016""","""Yes""","""1""",1229
NA,"""Kentucky""","""21""","""2016""","""2016""","""No""","""2""",53700
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""9""",520
NA,"""Kentucky""","""21""","""2017""","""2017""","""Yes""","""1""",1138
NA,"""Kentucky""","""21""","""2017""","""2017""","""No""","""2""",53384
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""9""",230
NA,"""Kentucky""","""21""","""2018""","""2018""","""Yes""","""1""",1218
NA,"""Kentucky""","""21""","""2018""","""2018""","""No""","""2""",52553
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""9""",151
NA,"""Kentucky""","""21""","""2019""","""2019""","""Yes""","""1""",1129
NA,"""Kentucky""","""21""","""2019""","""2019""","""No""","""2""",51729
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""9""",211
NA,"""Kentucky""","""21""","""2020""","""2020""","""Yes""","""1""",1187
NA,"""Kentucky""","""21""","""2020""","""2020""","""No""","""2""",49833
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""9""",648
NA,"""Kentucky""","""21""","""2021""","""2021""","""Yes""","""1""",1201
NA,"""Kentucky""","""21""","""2021""","""2021""","""No""","""2""",50715
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""9""",298
NA,"""Louisiana""","""22""","""2016""","""2016""","""Yes""","""1""",2213
NA,"""Louisiana""","""22""","""2016""","""2016""","""No""","""2""",60965
NA,"""Louisiana""","""22""","""2017""","""2017""","""Yes""","""1""",2126
NA,"""Louisiana""","""22""","""2017""","""2017""","""No""","""2""",58892
NA,"""Louisiana""","""22""","""2018""","""2018""","""Yes""","""1""",2015
NA,"""Louisiana""","""22""","""2018""","""2018""","""No""","""2""",57600
NA,"""Louisiana""","""22""","""2019""","""2019""","""Yes""","""1""",2124
NA,"""Louisiana""","""22""","""2019""","""2019""","""No""","""2""",56815
NA,"""Louisiana""","""22""","""2020""","""2020""","""Yes""","""1""",2038
NA,"""Louisiana""","""22""","""2020""","""2020""","""No""","""2""",55288
NA,"""Louisiana""","""22""","""2021""","""2021""","""Yes""","""1""",2074
NA,"""Louisiana""","""22""","""2021""","""2021""","""No""","""2""",55356
NA,"""Maine""","""23""","""2016""","""2016""","""Yes""","""1""",186
NA,"""Maine""","""23""","""2016""","""2016""","""No""","""2""",12438
NA,"""Maine""","""23""","""2016""","""2016""","""Unknown or Not Stated""","""9""",81
NA,"""Maine""","""23""","""2017""","""2017""","""Yes""","""1""",176
NA,"""Maine""","""23""","""2017""","""2017""","""No""","""2""",12071
NA,"""Maine""","""23""","""2017""","""2017""","""Unknown or Not Stated""","""9""",51
NA,"""Maine""","""23""","""2018""","""2018""","""Yes""","""1""",165
